Antworte im Chat mit der Kirchenführung	[IN:SEND_MESSAGE [SL:GROUP Kirchenführung SL:GROUP] IN:SEND_MESSAGE]
Was in den MSN Nachrichten ?	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE MSN SL:NEWS_SOURCE] [SL:NEWS_TYPE Nachrichten SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Welche Neuigkeiten gibt es bezüglich des Präsidenten von China	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Neuigkeiten SL:NEWS_TYPE] [SL:NEWS_TOPIC Präsidenten von China SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
Stelle einen Wecker auf 19 : 30 Uhr	[IN:CREATE_ALARM [SL:DATE_TIME auf 19 : 30 Uhr SL:DATE_TIME] IN:CREATE_ALARM]
Stelle einen Wecker auf 8 : 30 Uhr	[IN:CREATE_ALARM [SL:DATE_TIME auf 8 : 30 Uhr SL:DATE_TIME] IN:CREATE_ALARM]
Stelle einen Wecker auf 8 : 30 Uhr	[IN:CREATE_ALARM [SL:DATE_TIME auf 8 : 30 Uhr SL:DATE_TIME] IN:CREATE_ALARM]
Welche Zutaten hat ein klassischer Käsekuchen ?	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Zutaten SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH klassischer Käsekuchen SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Sag mir wie man Cornish - Game - Hühnchen macht	[IN:GET_RECIPES [SL:RECIPES_DISH Cornish - Game - Hühnchen SL:RECIPES_DISH] IN:GET_RECIPES]
Hilf mir Abendessen zu machen	[IN:GET_RECIPES [SL:RECIPES_MEAL Abendessen SL:RECIPES_MEAL] IN:GET_RECIPES]
Finde ein Keksrezept mit Kokosöl	[IN:GET_RECIPES [SL:RECIPES_DISH Keksrezept SL:RECIPES_DISH] [SL:RECIPES_INCLUDED_INGREDIENT Kokosöl SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_RECIPES]
Welche Zutaten brauche ich für Krabbenfrikadellen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Zutaten SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Krabbenfrikadellen SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Ich möchte einfache vegane Rezepte	[IN:GET_RECIPES [SL:RECIPES_ATTRIBUTE einfache SL:RECIPES_ATTRIBUTE] [SL:RECIPES_TYPE vegane SL:RECIPES_TYPE] IN:GET_RECIPES]
Was ist ein guter Fisch zum grillen	[IN:GET_INFO_RECIPES [SL:RECIPES_RATING guter SL:RECIPES_RATING] [SL:RECIPES_INCLUDED_INGREDIENT Fisch SL:RECIPES_INCLUDED_INGREDIENT] [SL:RECIPES_COOKING_METHOD grillen SL:RECIPES_COOKING_METHOD] IN:GET_INFO_RECIPES]
Wie viel Zucchini braucht man für Zucchinibrot	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie viel SL:RECIPES_ATTRIBUTE] [SL:RECIPES_INCLUDED_INGREDIENT Zucchini SL:RECIPES_INCLUDED_INGREDIENT] [SL:RECIPES_DISH Zucchinibrot SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Suche mir ein Rezept für Krabbencocktail	[IN:GET_RECIPES [SL:RECIPES_DISH Krabbencocktail SL:RECIPES_DISH] IN:GET_RECIPES]
Bei welcher Temperatur backt man Pizza ?	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Temperatur SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Pizza SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Welche Zutaten sind in Smores	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Zutaten SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Smores SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Einfache Back - Rezepte	[IN:GET_RECIPES [SL:RECIPES_ATTRIBUTE Einfache SL:RECIPES_ATTRIBUTE] [SL:RECIPES_COOKING_METHOD Back SL:RECIPES_COOKING_METHOD] IN:GET_RECIPES]
Zutaten und Anweisungen für die Vor - und Zubereitung von Hühnchen und Klößen , bitte	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Zutaten SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Hühnchen und Klößen SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Wie viel Zucker sollte ich verwenden	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie viel SL:RECIPES_ATTRIBUTE] [SL:RECIPES_INCLUDED_INGREDIENT Zucker SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Wie mache ich Alfredo Sauce	[IN:GET_RECIPES [SL:RECIPES_DISH Alfredo Sauce SL:RECIPES_DISH] IN:GET_RECIPES]
Wie lange dauert es , bis Gelee fertig ist , nachdem die Vorbereitungen abgeschlossen sind	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie lange SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Gelee SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Finde mir ein paar japanische Rezepte	[IN:GET_RECIPES [SL:RECIPES_TYPE japanische SL:RECIPES_TYPE] IN:GET_RECIPES]
günstige glutenfreie Rezepte	[IN:GET_RECIPES [SL:RECIPES_TYPE glutenfreie SL:RECIPES_TYPE] IN:GET_RECIPES]
Wie macht man paniertes Fleisch zum Frittieren	[IN:GET_RECIPES [SL:RECIPES_DISH paniertes Fleisch SL:RECIPES_DISH] [SL:RECIPES_COOKING_METHOD Frittieren SL:RECIPES_COOKING_METHOD] IN:GET_RECIPES]
Wie koche ich Hamburger ausreichend , ohne sie zu verbrennen	[IN:GET_INFO_RECIPES [SL:RECIPES_DISH Hamburger SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Wie viele Eier braucht man um einen Kuchen zu machen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie viele SL:RECIPES_ATTRIBUTE] [SL:RECIPES_INCLUDED_INGREDIENT Eier SL:RECIPES_INCLUDED_INGREDIENT] [SL:RECIPES_DISH Kuchen SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Wie lange dauert es , Schmorbraten in einem Schongarer zu kochen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie lange SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Schmorbraten SL:RECIPES_DISH] [SL:RECIPES_COOKING_METHOD Schongarer SL:RECIPES_COOKING_METHOD] IN:GET_INFO_RECIPES]
Wie man Cajun Bread Pudding macht	[IN:GET_RECIPES [SL:RECIPES_TYPE Cajun SL:RECIPES_TYPE] [SL:RECIPES_DISH Bread Pudding SL:RECIPES_DISH] IN:GET_RECIPES]
was ist ein gutes Rezept für Mahlzeiten vor dem Joggen	[IN:GET_RECIPES  IN:GET_RECIPES]
Wie lange brate ich Frühlingsrollen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie lange SL:RECIPES_ATTRIBUTE] [SL:RECIPES_COOKING_METHOD brate SL:RECIPES_COOKING_METHOD] [SL:RECIPES_DISH Frühlingsrollen SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Kommen Eier in das Maisbrot Rezept	[IN:IS_TRUE_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT Eier SL:RECIPES_INCLUDED_INGREDIENT] [SL:RECIPES_DISH Maisbrot SL:RECIPES_DISH] [SL:METHOD_RECIPES Rezept SL:METHOD_RECIPES] IN:IS_TRUE_RECIPES]
wie viele Eier brauche ich für einen Schokoladenkuchen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE wie viele SL:RECIPES_ATTRIBUTE] [SL:RECIPES_INCLUDED_INGREDIENT Eier SL:RECIPES_INCLUDED_INGREDIENT] [SL:RECIPES_DISH Schokoladenkuchen SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Was ist die beste Kochmethode dieser Burger	[IN:GET_INFO_RECIPES [SL:RECIPES_DISH Burger SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Finde Makkaronisalat Rezept	[IN:GET_RECIPES [SL:RECIPES_DISH Makkaronisalat SL:RECIPES_DISH] IN:GET_RECIPES]
Was ist ein bekanntes Chocolate - Chip - Rezept ?	[IN:GET_RECIPES [SL:RECIPES_RATING bekanntes SL:RECIPES_RATING] [SL:RECIPES_DISH Chocolate - Chip - SL:RECIPES_DISH] IN:GET_RECIPES]
ZUTATEN VON SCHOKOLADENKEKSEN	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE ZUTATEN SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH SCHOKOLADENKEKSEN SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Finde ein Rezept für Snickerdoodles	[IN:GET_RECIPES [SL:RECIPES_DISH Snickerdoodles SL:RECIPES_DISH] IN:GET_RECIPES]
Wie lange sollte ich ein Ei kochen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie lange SL:RECIPES_ATTRIBUTE] [SL:RECIPES_COOKING_METHOD kochen SL:RECIPES_COOKING_METHOD] [SL:RECIPES_INCLUDED_INGREDIENT Ei SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Was kann ich mit Reis kochen	[IN:GET_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT Reis SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_RECIPES]
Kannst du mir beibringen wie man Apfeltorte macht	[IN:GET_RECIPES [SL:RECIPES_DISH Apfeltorte SL:RECIPES_DISH] IN:GET_RECIPES]
Bei welcher Temperatur muss ich Hühnchen kochen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Temperatur SL:RECIPES_ATTRIBUTE] [SL:RECIPES_INCLUDED_INGREDIENT Hühnchen SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Kann ich Brot in einem Instant Pot backen	[IN:IS_TRUE_RECIPES [SL:RECIPES_COOKING_METHOD backen SL:RECIPES_COOKING_METHOD] [SL:RECIPES_DISH Brot SL:RECIPES_DISH] [SL:RECIPES_COOKING_METHOD Pot SL:RECIPES_COOKING_METHOD] IN:IS_TRUE_RECIPES]
Wie lang sollte ich einen Pfundkuchen backen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie lang SL:RECIPES_ATTRIBUTE] [SL:RECIPES_COOKING_METHOD backen SL:RECIPES_COOKING_METHOD] [SL:RECIPES_DISH Pfundkuchen SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Suche mir ein Rezept mit Putenhackfleisch	[IN:GET_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT Putenhackfleisch SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_RECIPES]
Welche Art von Nüssen brauche ich für Baklava	[IN:GET_INFO_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT Nüssen SL:RECIPES_INCLUDED_INGREDIENT] [SL:RECIPES_DISH Baklava SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Wie viele Kalorien hat ein Red Velvet Cupcake	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie viele SL:RECIPES_ATTRIBUTE] [SL:RECIPES_UNIT_NUTRITION Kalorien SL:RECIPES_UNIT_NUTRITION] [SL:RECIPES_DISH Red Velvet Cupcake SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Was sind die Schritte für vegetarische Lasagne	[IN:GET_RECIPES [SL:RECIPES_TYPE vegetarische SL:RECIPES_TYPE] [SL:RECIPES_DISH Lasagne SL:RECIPES_DISH] IN:GET_RECIPES]
Gibt es Fleisch in Bolognese	[IN:IS_TRUE_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT Fleisch SL:RECIPES_INCLUDED_INGREDIENT] [SL:RECIPES_DISH Bolognese SL:RECIPES_DISH] IN:IS_TRUE_RECIPES]
Was sind die Zutaten um Zitronentorte zu machen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Zutaten SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Zitronentorte SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Finde mir ein Rezept für Pad Thai	[IN:GET_RECIPES [SL:RECIPES_DISH Pad Thai SL:RECIPES_DISH] IN:GET_RECIPES]
Wie ist der beste Weg , Hühnchen zu braten	[IN:GET_INFO_RECIPES  IN:GET_INFO_RECIPES]
Wie bereitet man einen Truthahn zu	[IN:GET_INFO_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT Truthahn SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Bei welcher Temperatur backt man Schokoladenkuchen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Temperatur SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Schokoladenkuchen SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Wie kann ich meinen eigenen Käse machen	[IN:GET_RECIPES [SL:RECIPES_DISH Käse SL:RECIPES_DISH] IN:GET_RECIPES]
Such ein Rezept für Krabbensuppe	[IN:GET_RECIPES [SL:RECIPES_DISH Krabbensuppe SL:RECIPES_DISH] IN:GET_RECIPES]
Zutaten für gesunde hausgemachte Pommes	[IN:GET_INFO_RECIPES  IN:GET_INFO_RECIPES]
Wie viele Kalorien sind in einem Ei	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie viele SL:RECIPES_ATTRIBUTE] [SL:RECIPES_UNIT_NUTRITION Kalorien SL:RECIPES_UNIT_NUTRITION] [SL:RECIPES_INCLUDED_INGREDIENT Ei SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Wie macht man Bentoboxen	[IN:GET_RECIPES [SL:RECIPES_DISH Bentoboxen SL:RECIPES_DISH] IN:GET_RECIPES]
finde ein Rezept für Tacos	[IN:GET_RECIPES [SL:RECIPES_DISH Tacos SL:RECIPES_DISH] IN:GET_RECIPES]
bei welcher Temperatur kocht man Lamm	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Temperatur SL:RECIPES_ATTRIBUTE] [SL:RECIPES_INCLUDED_INGREDIENT Lamm SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Wie macht man ein veganes Omelette	[IN:GET_RECIPES [SL:RECIPES_TYPE veganes SL:RECIPES_TYPE] [SL:RECIPES_DISH Omelette SL:RECIPES_DISH] IN:GET_RECIPES]
Wie viele Äpfel brauche ich für einen Kuchen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie viele SL:RECIPES_ATTRIBUTE] [SL:RECIPES_INCLUDED_INGREDIENT Äpfel SL:RECIPES_INCLUDED_INGREDIENT] [SL:RECIPES_DISH Kuchen SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Wie macht man einen zarten Braten im Ofen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE zarten SL:RECIPES_ATTRIBUTE] [SL:RECIPES_COOKING_METHOD Braten SL:RECIPES_COOKING_METHOD] [SL:RECIPES_COOKING_METHOD Ofen SL:RECIPES_COOKING_METHOD] IN:GET_INFO_RECIPES]
Kann ich Brot ohne Hefe machen	[IN:IS_TRUE_RECIPES [SL:RECIPES_DISH Brot SL:RECIPES_DISH] [SL:RECIPES_EXCLUDED_INGREDIENT Hefe SL:RECIPES_EXCLUDED_INGREDIENT] IN:IS_TRUE_RECIPES]
Sind in Krabbenkuchen Paprikaflocken ?	[IN:IS_TRUE_RECIPES [SL:RECIPES_DISH Krabbenkuchen SL:RECIPES_DISH] [SL:RECIPES_INCLUDED_INGREDIENT Paprikaflocken SL:RECIPES_INCLUDED_INGREDIENT] IN:IS_TRUE_RECIPES]
Rezepte mit Käse	[IN:GET_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT Käse SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_RECIPES]
Wie lange backt man Bananenbrot	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie lange SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Bananenbrot SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Wie macht man einen Käsekuchen	[IN:GET_RECIPES [SL:RECIPES_DISH Käsekuchen SL:RECIPES_DISH] IN:GET_RECIPES]
Welche Zutaten brauche ich um Lasagne zu machen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Zutaten SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Lasagne SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Sollte ich die Butter schmelzen	[IN:IS_TRUE_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT Butter SL:RECIPES_INCLUDED_INGREDIENT] IN:IS_TRUE_RECIPES]
Wie kocht man Curry	[IN:GET_RECIPES [SL:RECIPES_DISH Curry SL:RECIPES_DISH] IN:GET_RECIPES]
Wie mache ich Shrimp Scampi	[IN:GET_RECIPES [SL:RECIPES_DISH Shrimp Scampi SL:RECIPES_DISH] IN:GET_RECIPES]
Wie viele Teelöffel brauche ich um Tee zu machen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie viele SL:RECIPES_ATTRIBUTE] [SL:RECIPES_UNIT_MEASUREMENT Teelöffel SL:RECIPES_UNIT_MEASUREMENT] [SL:RECIPES_DISH Tee SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Rezept für scharfes Hühnchen	[IN:GET_RECIPES [SL:RECIPES_ATTRIBUTE scharfes SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Hühnchen SL:RECIPES_DISH] IN:GET_RECIPES]
Welche Zutaten sind in Hühnereintopf - Pastete	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Zutaten SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Hühnereintopf - Pastete SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
WELCHE ZUTATEN WERDEN EINEM GRÜNE - BOHNEN - EINTOPF HINZUGEFÜGT	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE ZUTATEN SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH GRÜNE - BOHNEN - EINTOPF SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Wie verhindere ich , dass mein Hühnchen verkocht ist	[IN:GET_INFO_RECIPES [SL:RECIPES_INCLUDED_INGREDIENT Hühnchen SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Wie lange backen Brownies im Ofen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie lange SL:RECIPES_ATTRIBUTE] [SL:RECIPES_COOKING_METHOD backen SL:RECIPES_COOKING_METHOD] [SL:RECIPES_DISH Brownies SL:RECIPES_DISH] [SL:RECIPES_COOKING_METHOD Ofen SL:RECIPES_COOKING_METHOD] IN:GET_INFO_RECIPES]
Hilf mir eine paar Dessert Rezepte zu finden	[IN:GET_RECIPES [SL:RECIPES_MEAL Dessert SL:RECIPES_MEAL] IN:GET_RECIPES]
Was ist die beste Methode Rührei zu machen	[IN:GET_RECIPES [SL:RECIPES_DISH Rührei SL:RECIPES_DISH] IN:GET_RECIPES]
Wie lange muss man Schweinefleisch in Marsalasoße kochen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie lange SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Schweinefleisch in Marsalasoße SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Suche mir ein gesundes Rezept , um einen Kuchen zu backen	[IN:GET_RECIPES [SL:RECIPES_ATTRIBUTE gesundes SL:RECIPES_ATTRIBUTE] [SL:RECIPES_COOKING_METHOD backen SL:RECIPES_COOKING_METHOD] [SL:RECIPES_DISH Kuchen SL:RECIPES_DISH] IN:GET_RECIPES]
Wie lange backe ich Hühnchen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie lange SL:RECIPES_ATTRIBUTE] [SL:RECIPES_COOKING_METHOD backe SL:RECIPES_COOKING_METHOD] [SL:RECIPES_INCLUDED_INGREDIENT Hühnchen SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Finde mir ein Hühnchen - Curry - Rezept	[IN:GET_RECIPES [SL:RECIPES_DISH Hühnchen - Curry SL:RECIPES_DISH] IN:GET_RECIPES]
Bestes Hühnchen - Enchilada Rezept	[IN:GET_RECIPES [SL:RECIPES_RATING Bestes SL:RECIPES_RATING] [SL:RECIPES_DISH Hühnchen - Enchilada SL:RECIPES_DISH] IN:GET_RECIPES]
Wie viel Milligramm Natrium sind in Ramen - Nudeln	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie viel SL:RECIPES_ATTRIBUTE] [SL:RECIPES_UNIT_NUTRITION Milligramm SL:RECIPES_UNIT_NUTRITION] [SL:RECIPES_TYPE_NUTRITION Natrium SL:RECIPES_TYPE_NUTRITION] [SL:RECIPES_DISH Ramen - Nudeln SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Was ist ein einfaches Rezept für Hochzeitssuppe	[IN:GET_RECIPES [SL:RECIPES_ATTRIBUTE einfaches SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH Hochzeitssuppe SL:RECIPES_DISH] IN:GET_RECIPES]
Rezept für Würstchen - Pizza	[IN:GET_RECIPES [SL:RECIPES_DISH Würstchen - Pizza SL:RECIPES_DISH] IN:GET_RECIPES]
Wie hoch ist die ideale Temperatur für Hühnchen	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Temperatur SL:RECIPES_ATTRIBUTE] [SL:RECIPES_INCLUDED_INGREDIENT Hühnchen SL:RECIPES_INCLUDED_INGREDIENT] IN:GET_INFO_RECIPES]
Wie viele Kohlenhydrate sind in Kartoffelchips	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Wie viele SL:RECIPES_ATTRIBUTE] [SL:RECIPES_TYPE_NUTRITION Kohlenhydrate SL:RECIPES_TYPE_NUTRITION] [SL:RECIPES_DISH Kartoffelchips SL:RECIPES_DISH] IN:GET_INFO_RECIPES]
Rezepte für Abendessen	[IN:GET_RECIPES [SL:RECIPES_MEAL Abendessen SL:RECIPES_MEAL] IN:GET_RECIPES]
Rezept für gegrillte Shrimp Marinade	[IN:GET_RECIPES [SL:RECIPES_DISH gegrillte Shrimp Marinade SL:RECIPES_DISH] IN:GET_RECIPES]
Blaubeer - Pfannkuchen Rezept	[IN:GET_RECIPES [SL:RECIPES_DISH Blaubeer - Pfannkuchen SL:RECIPES_DISH] IN:GET_RECIPES]
Bei welcher Temperatur wird Braten gekocht	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE Temperatur SL:RECIPES_ATTRIBUTE] [SL:RECIPES_COOKING_METHOD Braten SL:RECIPES_COOKING_METHOD] IN:GET_INFO_RECIPES]
Hat mir jemand aus der Gruppe der Arbeitskollegen seit Dienstag geschrieben	[IN:GET_MESSAGE [SL:GROUP Arbeitskollegen SL:GROUP] [SL:RECIPIENT mir SL:RECIPIENT] [SL:DATE_TIME seit Dienstag SL:DATE_TIME] IN:GET_MESSAGE]
schicke frohes neues Jahr an Steve und Steve	[IN:SEND_MESSAGE [SL:CONTENT_EXACT frohes neues Jahr SL:CONTENT_EXACT] [SL:RECIPIENT Steve SL:RECIPIENT] [SL:RECIPIENT Steve SL:RECIPIENT] IN:SEND_MESSAGE]
Kannst du eine Nachricht an den Ufo - Thread senden	[IN:SEND_MESSAGE [SL:GROUP Ufo SL:GROUP] IN:SEND_MESSAGE]
ich möchte das Video an Anna , Julia Peterson und Jose schicken .	[IN:SEND_MESSAGE [SL:TYPE_CONTENT Video SL:TYPE_CONTENT] [SL:RECIPIENT Anna SL:RECIPIENT] [SL:RECIPIENT Julia Peterson SL:RECIPIENT] [SL:RECIPIENT Jose SL:RECIPIENT] IN:SEND_MESSAGE]
Hat mir meine Familie etwas geschickt	[IN:GET_MESSAGE [SL:SENDER   [IN:GET_CONTACT     [SL:CONTACT_RELATED meine SL:CONTACT_RELATED]     [SL:TYPE_RELATION Familie SL:TYPE_RELATION] IN:GET_CONTACT] SL:SENDER] [SL:RECIPIENT mir SL:RECIPIENT] IN:GET_MESSAGE]
Kannst du bitte eine Textnachricht an Tad und James senden	[IN:SEND_MESSAGE [SL:RECIPIENT Tad SL:RECIPIENT] [SL:RECIPIENT James SL:RECIPIENT] IN:SEND_MESSAGE]
schicke meinen Geschwistern eine Nachricht , in der steht : Wir sprechen uns später	[IN:SEND_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meinen SL:CONTACT_RELATED]     [SL:TYPE_RELATION Geschwistern SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] [SL:CONTENT_EXACT Wir sprechen uns später SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Schreibe frohes neues Jahr an Kelly und Tony	[IN:SEND_MESSAGE [SL:CONTENT_EXACT frohes neues Jahr SL:CONTENT_EXACT] [SL:RECIPIENT Kelly SL:RECIPIENT] [SL:RECIPIENT Tony SL:RECIPIENT] IN:SEND_MESSAGE]
schicke den Text an meine Geschwister	[IN:SEND_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meine SL:CONTACT_RELATED]     [SL:TYPE_RELATION Geschwister SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] IN:SEND_MESSAGE]
Ich möchte etwas im Photography Friends - Chat schreiben	[IN:SEND_MESSAGE [SL:GROUP Photography Friends SL:GROUP] IN:SEND_MESSAGE]
Würdest du Janice und Professor Snape eine Nachricht schicken ?	[IN:SEND_MESSAGE [SL:RECIPIENT Janice SL:RECIPIENT] [SL:RECIPIENT Professor Snape SL:RECIPIENT] IN:SEND_MESSAGE]
Zeig mir meine Nachrichten von Steve und Bill	[IN:GET_MESSAGE [SL:RECIPIENT Steve SL:RECIPIENT] [SL:RECIPIENT Bill SL:RECIPIENT] IN:GET_MESSAGE]
Schick meinen Geschwistern eine Nachricht und sag , dass ich unterwegs bin	[IN:SEND_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meinen SL:CONTACT_RELATED]     [SL:TYPE_RELATION Geschwistern SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] [SL:CONTENT_EXACT unterwegs SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Nachricht an Mini Mouse , Kari und Sparks , so etwas wie , dass ich auf dem Weg bin	[IN:SEND_MESSAGE [SL:RECIPIENT Mini Mouse SL:RECIPIENT] [SL:RECIPIENT Kari SL:RECIPIENT] [SL:RECIPIENT Sparks SL:RECIPIENT] [SL:CONTENT_EXACT auf dem Weg SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Kannst du eine Videonachricht an meine Großeltern schicken ?	[IN:SEND_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meine SL:CONTACT_RELATED]     [SL:TYPE_RELATION Großeltern SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] IN:SEND_MESSAGE]
Kannst du bitte Jeanne und Leo eine Nachricht schicken	[IN:SEND_MESSAGE [SL:RECIPIENT Jeanne SL:RECIPIENT] [SL:RECIPIENT Leo SL:RECIPIENT] IN:SEND_MESSAGE]
