llamar a Irene Powell	[IN:CREATE_CALL [SL:CONTACT Irene Powell SL:CONTACT] IN:CREATE_CALL]
¿ Debería llevar una chaqueta para más tarde ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE chaqueta SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME para más tarde SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál será la temperatura del viernes ?	[IN:GET_WEATHER [SL:DATE_TIME del viernes SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuánta nieve caerá en Chicago mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nieve SL:WEATHER_ATTRIBUTE] [SL:LOCATION Chicago SL:LOCATION] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo está el clima hoy ?	[IN:GET_WEATHER [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuánto llovió hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE llovió SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo está el clima en Egipto ?	[IN:GET_WEATHER [SL:LOCATION Egipto SL:LOCATION] IN:GET_WEATHER]
¿ Cuál es el pronóstico del clima para Filadelfia esta noche ?	[IN:GET_WEATHER [SL:LOCATION Filadelfia SL:LOCATION] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_WEATHER]
¿ Voy a tener que palear nieve mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nieve SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Qué tan húmedo está en Yakarta ahora ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE húmedo SL:WEATHER_ATTRIBUTE] [SL:LOCATION Yakarta SL:LOCATION] IN:GET_WEATHER]
¿ Cómo es el pronóstico del clima para los próximos 5 días ?	[IN:GET_WEATHER [SL:DATE_TIME para los próximos 5 días SL:DATE_TIME] IN:GET_WEATHER]
¿ Hay una alerta por tornado para esta zona la semana que viene ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE tornado SL:WEATHER_ATTRIBUTE] [SL:LOCATION esta zona SL:LOCATION] [SL:DATE_TIME semana que viene SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuánto calor hará hoy al mediodía ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE calor SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy al mediodía SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuánta humedad habrá esta semana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE humedad SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME esta semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es el pronóstico en Alemania ?	[IN:GET_WEATHER [SL:LOCATION Alemania SL:LOCATION] IN:GET_WEATHER]
¿ Habrá un tornado en el Caribe ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE tornado SL:WEATHER_ATTRIBUTE] [SL:LOCATION Caribe SL:LOCATION] IN:GET_WEATHER]
¿ Lloverá en Orange Beach la próxima semana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Lloverá SL:WEATHER_ATTRIBUTE] [SL:LOCATION Orange Beach SL:LOCATION] [SL:DATE_TIME próxima semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Debería usar gafas de sol o una chaqueta ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE gafas de sol SL:WEATHER_ATTRIBUTE] [SL:WEATHER_ATTRIBUTE chaqueta SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ La temperatura de hoy ?	[IN:GET_WEATHER [SL:DATE_TIME de hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Nevará hoy en Canadá ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Nevará SL:WEATHER_ATTRIBUTE] [SL:LOCATION Canadá SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuándo lloverá esta semana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lloverá SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME esta semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es la temperatura máxima para mañana ?	[IN:GET_WEATHER [SL:DATE_TIME para mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál será la temperatura de mañana ?	[IN:GET_WEATHER [SL:DATE_TIME de mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo está el clima en Houston , Texas , ahora mismo ?	[IN:GET_WEATHER [SL:LOCATION Houston , Texas SL:LOCATION] IN:GET_WEATHER]
¿ Cuándo nevará la próxima semana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nevará SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME próxima semana SL:DATE_TIME] IN:GET_WEATHER]
Clima , 76120 .	[IN:GET_WEATHER [SL:LOCATION 76120 SL:LOCATION] IN:GET_WEATHER]
¿ Cómo estará el tiempo en los próximos diez días ?	[IN:GET_WEATHER [SL:DATE_TIME en los próximos diez días SL:DATE_TIME] IN:GET_WEATHER]
¿ Debería llevar una chaqueta ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE chaqueta SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Nevará el viernes ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Nevará SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME viernes SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuánta precipitación hay hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE precipitación SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Nevará el miércoles por la noche ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Nevará SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME miércoles por la noche SL:DATE_TIME] IN:GET_WEATHER]
Envía me el estado del tiempo de Londres .	[IN:GET_WEATHER [SL:LOCATION Londres SL:LOCATION] IN:GET_WEATHER]
¿ Cuál es el clima en la ciudad de Boise , Idaho en octubre ?	[IN:GET_WEATHER [SL:LOCATION Boise , Idaho SL:LOCATION] [SL:DATE_TIME en octubre SL:DATE_TIME] IN:GET_WEATHER]
¿ Sigue habiendo niebla en Seattle ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE niebla SL:WEATHER_ATTRIBUTE] [SL:LOCATION Seattle SL:LOCATION] IN:GET_WEATHER]
¿ Llevo una chaqueta para la cena ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE chaqueta SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ El pronóstico indica lluvia ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lluvia SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Necesito ponerme hoy mis ropas térmicas ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE ropas térmicas SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Están pronosticadas ráfagas de viento para Gorge este fin de semana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE viento SL:WEATHER_ATTRIBUTE] [SL:LOCATION Gorge SL:LOCATION] [SL:DATE_TIME este fin de semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Hay alguna tormenta ahora ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE tormenta SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Debería salir con un abrigo esta mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE abrigo SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME esta mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Está nevando en Nueva York hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nevando SL:WEATHER_ATTRIBUTE] [SL:LOCATION Nueva York SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Nevará en las montañas hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Nevará SL:WEATHER_ATTRIBUTE] [SL:LOCATION montañas SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Está nublado ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nublado SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cuál es la temperatura en Dallas hoy ?	[IN:GET_WEATHER [SL:DATE_TIME hoy SL:DATE_TIME] [SL:LOCATION Dallas SL:LOCATION] IN:GET_WEATHER]
¿ Cuál es el pronóstico de esta semana ?	[IN:GET_WEATHER [SL:DATE_TIME de esta semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuánto viento se supone que habrá ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE viento SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cómo es el clima en otoño en Idyllwild , CA ?	[IN:GET_WEATHER [SL:DATE_TIME en otoño SL:DATE_TIME] [SL:LOCATION Idyllwild CA SL:LOCATION] IN:GET_WEATHER]
¿ Cómo estará el clima en Dallas el próximo lunes ?	[IN:GET_WEATHER [SL:LOCATION Dallas SL:LOCATION] [SL:DATE_TIME próximo lunes SL:DATE_TIME] IN:GET_WEATHER]
Hora más calurosa de hoy .	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE más calurosa SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME de hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Debería usar chaqueta esta noche ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE chaqueta SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_WEATHER]
¿ Hará mucho frío mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE mucho frío SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuáles son las probabilidades de lluvia para hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lluvia SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME para hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuánto viento está haciendo en la playa ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE viento SL:WEATHER_ATTRIBUTE] [SL:LOCATION playa SL:LOCATION] IN:GET_WEATHER]
¿ Estará lindo el clima en la playa ?	[IN:GET_WEATHER [SL:LOCATION playa SL:LOCATION] IN:GET_WEATHER]
¿ Cuál será el cambio de temperatura mañana ?	[IN:GET_WEATHER [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Llueve en Idaho hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Llueve SL:WEATHER_ATTRIBUTE] [SL:LOCATION Idaho SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Lloverá hoy en Oakland ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Lloverá SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] [SL:LOCATION Oakland SL:LOCATION] IN:GET_WEATHER]
¿ Habrá inundaciones a causa de las lluvias ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE inundaciones SL:WEATHER_ATTRIBUTE] [SL:WEATHER_ATTRIBUTE lluvias SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cómo está el clima en la playa ?	[IN:GET_WEATHER [SL:LOCATION playa SL:LOCATION] IN:GET_WEATHER]
¿ Debería encender hoy el aire acondicionado ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE aire acondicionado SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Estará templado para ir a nadar hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE templado SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuánto calor hace hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE calor SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Debería usar un impermeable hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE impermeable SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuánta nieve caerá en Milwaukee ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nieve SL:WEATHER_ATTRIBUTE] [SL:LOCATION Milwaukee SL:LOCATION] IN:GET_WEATHER]
¿ Cuánta lluvia está pronosticada en Bantam ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lluvia SL:WEATHER_ATTRIBUTE] [SL:LOCATION Bantam SL:LOCATION] IN:GET_WEATHER]
¿ Lloverá mañana en Austin ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Lloverá SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME mañana SL:DATE_TIME] [SL:LOCATION Austin SL:LOCATION] IN:GET_WEATHER]
¿ Cuánto llovió en Inglaterra la semana pasada ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE llovió SL:WEATHER_ATTRIBUTE] [SL:LOCATION Inglaterra SL:LOCATION] [SL:DATE_TIME semana pasada SL:DATE_TIME] IN:GET_WEATHER]
¿ LLOVERÁ HOY ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE LLOVERÁ SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME HOY SL:DATE_TIME] IN:GET_WEATHER]
¿ Se supone que hoy estará muy caluroso y húmedo ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE caluroso SL:WEATHER_ATTRIBUTE] [SL:WEATHER_ATTRIBUTE húmedo SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuán caluroso estará esta tarde ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE caluroso SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME esta tarde SL:DATE_TIME] IN:GET_WEATHER]
¿ Necesitaré botas de nieve en Boston mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE botas de nieve SL:WEATHER_ATTRIBUTE] [SL:LOCATION Boston SL:LOCATION] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo estará el clima mañana ?	[IN:GET_WEATHER [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Estará soleado en Texas mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE soleado SL:WEATHER_ATTRIBUTE] [SL:LOCATION Texas SL:LOCATION] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Debería ponerme botas de nieve ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE botas de nieve SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cómo estará el clima en Branson el 11 de septiembre ?	[IN:GET_WEATHER [SL:LOCATION Branson SL:LOCATION] [SL:DATE_TIME 11 de septiembre SL:DATE_TIME] IN:GET_WEATHER]
¿ Qué tipo de ropa debo usar esta noche ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE ropa SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_WEATHER]
¿ Se pronostica viento para hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE viento SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME para hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es la temperatura en Yucaipa hoy ?	[IN:GET_WEATHER [SL:LOCATION Yucaipa SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuánta lluvia está pronosticada para hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lluvia SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME para hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuánto calor hará hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE calor SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Está brumoso afuera esta mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE brumoso SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME esta mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Hay pronosticado nieve para mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nieve SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME para mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es el pronóstico extendido para mi ubicación ?	[IN:GET_WEATHER [SL:LOCATION mi ubicación SL:LOCATION] IN:GET_WEATHER]
¿ Cuánto tiempo se supone que lloverá ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lloverá SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Se pronóstico nieve durante la noche ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nieve SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME durante la noche SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es la temperatura promedio de esta semana ?	[IN:GET_WEATHER [SL:DATE_TIME de esta semana SL:DATE_TIME] IN:GET_WEATHER]
¿ Va a helar alguna noche de esta semana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE helar SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME noche de esta semana SL:DATE_TIME] IN:GET_WEATHER]
Pronóstico para Akron , Ohio	[IN:GET_WEATHER [SL:LOCATION Akron Ohio SL:LOCATION] IN:GET_WEATHER]
¿ Cómo está el clima hoy en Wildwood ?	[IN:GET_WEATHER [SL:LOCATION Wildwood SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuánta humedad hay en Florida hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE humedad SL:WEATHER_ATTRIBUTE] [SL:LOCATION Florida SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Debería ponerme una chaqueta hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE chaqueta SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo estará el clima el sábado ?	[IN:GET_WEATHER [SL:DATE_TIME sábado SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo estará el tiempo en San José en febrero ?	[IN:GET_WEATHER [SL:LOCATION San José SL:LOCATION] [SL:DATE_TIME en febrero SL:DATE_TIME] IN:GET_WEATHER]
¿ Qué tanto viento hace en la playa ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE viento SL:WEATHER_ATTRIBUTE] [SL:LOCATION playa SL:LOCATION] IN:GET_WEATHER]
¿ Cómo es el clima en Colorado en octubre ?	[IN:GET_WEATHER [SL:LOCATION Colorado SL:LOCATION] [SL:DATE_TIME en octubre SL:DATE_TIME] IN:GET_WEATHER]
¿ La temperatura estará bajo cero hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE bajo cero SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Lloverá el martes que viene ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Lloverá SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME martes que viene SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es la temperatura en Spokane ?	[IN:GET_WEATHER [SL:LOCATION Spokane SL:LOCATION] IN:GET_WEATHER]
¿ Hoy a qué hora empezará a llover en Conyers ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE llover SL:WEATHER_ATTRIBUTE] [SL:LOCATION Conyers SL:LOCATION] [SL:DATE_TIME Hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuántas pulgadas de nieve cayeron ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nieve SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cómo está el tiempo en Italia en este momento ?	[IN:GET_WEATHER [SL:LOCATION Italia SL:LOCATION] IN:GET_WEATHER]
¿ Cuál es el pronóstico del tiempo este fin de semana para California ?	[IN:GET_WEATHER [SL:DATE_TIME fin de semana SL:DATE_TIME] [SL:LOCATION California SL:LOCATION] IN:GET_WEATHER]
¿ Cuánta nieve se espera ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nieve SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Esta lloviendo en mi oficina ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lloviendo SL:WEATHER_ATTRIBUTE] [SL:LOCATION mi oficina SL:LOCATION] IN:GET_WEATHER]
¿ Cómo será el clima en Austin hoy ?	[IN:GET_WEATHER [SL:LOCATION Austin SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Nevará en Overland Park el jueves ?	[IN:GET_WEATHER [SL:LOCATION Overland Park SL:LOCATION] [SL:WEATHER_ATTRIBUTE Nevará SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME jueves SL:DATE_TIME] IN:GET_WEATHER]
¿ Debería llevar un paraguas ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE paraguas SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cuál es el clima actual de Los Ángeles ?	[IN:GET_WEATHER [SL:LOCATION Los Ángeles SL:LOCATION] IN:GET_WEATHER]
¿ Debo llevar un paraguas mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE paraguas SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
Muéstra me la temperatura .	[IN:GET_WEATHER  IN:GET_WEATHER]
¿ Cuál es el índice UV hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE índice UV SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
Muéstra me el clima por hora .	[IN:GET_WEATHER [SL:DATE_TIME por hora SL:DATE_TIME] IN:GET_WEATHER]
¿ Qué tan fuerte es la lluvia ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lluvia SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Cuál será el clima en Las Vegas la semana que viene ?	[IN:GET_WEATHER [SL:DATE_TIME semana que viene SL:DATE_TIME] [SL:LOCATION Vegas SL:LOCATION] IN:GET_WEATHER]
¿ Puedes decirme cómo está el clima hoy ?	[IN:GET_WEATHER [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál será la temperatura hoy en Disney ?	[IN:GET_WEATHER [SL:DATE_TIME hoy SL:DATE_TIME] [SL:LOCATION Disney SL:LOCATION] IN:GET_WEATHER]
¿ Qué temperatura hará este domingo en Nueva York ?	[IN:GET_WEATHER [SL:LOCATION Nueva York SL:LOCATION] [SL:DATE_TIME este domingo SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo está el clima hoy ?	[IN:GET_WEATHER [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo está el clima en Charlotte ?	[IN:GET_WEATHER [SL:LOCATION Charlotte SL:LOCATION] IN:GET_WEATHER]
¿ Qué tiempo hace en Chapel Hill a las 8 : 00 ?	[IN:GET_WEATHER [SL:LOCATION Chapel Hill SL:LOCATION] [SL:DATE_TIME a las 8 : 00 SL:DATE_TIME] IN:GET_WEATHER]
¿ Nevará en diciembre en la ciudad de Baltimore ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE Nevará SL:WEATHER_ATTRIBUTE] [SL:LOCATION ciudad de Baltimore SL:LOCATION] [SL:DATE_TIME en diciembre SL:DATE_TIME] IN:GET_WEATHER]
¿ Necesito protección solar hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE protección solar SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Se pronostica lluvia para mañana en Greensboro ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE lluvia SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME para mañana SL:DATE_TIME] [SL:LOCATION Greensboro SL:LOCATION] IN:GET_WEATHER]
¿ Cuál es la temperatura en Afganistán ?	[IN:GET_WEATHER [SL:LOCATION Afganistán SL:LOCATION] IN:GET_WEATHER]
¿ Hace frío afuera ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE frío SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
¿ Para cuándo se prevé la próxima alerta meteorológica ?	[IN:GET_WEATHER  IN:GET_WEATHER]
¿ Cómo estará el clima el próximo viernes ?	[IN:GET_WEATHER [SL:DATE_TIME próximo viernes SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es el clima actual en París ?	[IN:GET_WEATHER [SL:LOCATION París SL:LOCATION] IN:GET_WEATHER]
¿ Cómo estará el tiempo en Menlo Park a las 10 : 00 ?	[IN:GET_WEATHER [SL:LOCATION Menlo Park SL:LOCATION] [SL:DATE_TIME a las 10 : 00 SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál será el clima para este fin de semana ?	[IN:GET_WEATHER [SL:DATE_TIME para este fin de semana SL:DATE_TIME] IN:GET_WEATHER]
El clima en Jamaica hoy .	[IN:GET_WEATHER [SL:LOCATION Jamaica SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Va a haber nubes hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE nubes SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál será la máxima temperatura de hoy ?	[IN:GET_WEATHER [SL:DATE_TIME de hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo está el tiempo hoy en Austin ?	[IN:GET_WEATHER [SL:DATE_TIME hoy SL:DATE_TIME] [SL:LOCATION Austin SL:LOCATION] IN:GET_WEATHER]
¿ Cuál es la temperatura más alta para hoy ?	[IN:GET_WEATHER [SL:DATE_TIME para hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cómo está el clima hoy en Central Park , Nueva York ?	[IN:GET_WEATHER [SL:LOCATION Central Park , Nueva York SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuánto se espera que llueva mañana ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE llueva SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_WEATHER]
¿ Cuál es el pronóstico semanal del clima para Seattle ?	[IN:GET_WEATHER [SL:DATE_TIME semanal SL:DATE_TIME] [SL:LOCATION Seattle SL:LOCATION] IN:GET_WEATHER]
¿ Va a llover hoy ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE llover SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_WEATHER]
